UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,Temp_Diff,Power_Index,Wear_Ratio,Machine_Load,Health_Score,Temp_Speed_Ratio,Torque_Wear_Ratio,Prediction,Failure_Probability
11,H29424,H,-0.8024013425000663,-0.7451572309007156,1.692692431205966,-1.6222800030429536,-1.318927395949438,0,0,0,0,0,0,2026-01-01 01:40:00,0.0572441115993507,-2.746021082447599,-0.4022568976602506,1.2088536748130918,-0.5592147082374416,-0.2767331397618943,5.086674972570076,0,0.0
12,H29425,H,-0.7024092752447672,-0.6103554596895817,-0.720086949209315,0.4353898224785122,-1.240373990037094,0,0,0,0,0,0,2026-01-01 01:50:00,0.0920538155551854,-0.3135185289853371,-0.3782990592985722,-0.2657425552430377,-0.5675671703404491,-2.1805180500354626,-1.8113017236653757,0,0.0
13,M14872,M,-0.7024092752447672,-0.6103554596895817,-1.2846369992229183,1.1212797643190011,-1.1618205841247502,0,0,0,0,0,0,2026-01-01 02:00:00,0.0920538155551854,-1.4404374717241426,-0.354341220936894,-0.6843792259915498,-0.5275885107926033,2.144329308402986,-6.929154102265431,0,0.0
14,M14873,M,-0.7024092752447672,-0.542954574084053,1.4238590740566313,-1.006996378744868,-1.1146885405773437,0,0,0,0,0,0,2026-01-01 02:10:00,0.1594547011607141,-1.4338209314180483,-0.339966517919887,0.5467532899256035,-0.3886379389188801,-0.2240041840284677,8.78027023166948,0,0.0
15,L47194,L,-0.7024092752447672,-0.542954574084053,2.455507082117204,-2.0560045250891448,-1.0675564970299374,0,0,0,0,0,0,2026-01-01 02:20:00,0.1594547011607141,-5.048533672221414,-0.3255918149028801,1.1163170612346622,-0.3826835578661396,-0.1571273220344211,30.43385337428072,0,0.0
16,L47195,L,-0.7024092752447672,-0.542954574084053,0.0796922883099564,0.84894111094116,-1.0361351346649996,0,0,0,0,0,0,2026-01-01 02:30:00,0.1594547011607141,0.0676540597712976,-0.3160086795582087,-0.4609364593135003,-0.2705731169485407,-0.5028789961387429,-23.49350898540975,0,0.0
17,M14876,M,-0.7024092752447672,-0.542954574084053,-1.472820349227453,0.6673820086892662,-1.004713772300062,0,0,0,0,0,0,2026-01-01 02:40:00,0.1594547011607141,-0.982933803105844,-0.3064255442135374,-0.3623581142792403,-0.6111031924334138,1.1483316548689015,-141.58129969079653,0,0.0
18,M14877,M,-0.652413241617146,-0.542954574084053,-0.8074577902828489,0.5665158407715473,-0.9575817287526556,0,0,0,0,0,0,2026-01-01 02:50:00,0.1094586675330929,-0.4574376289496238,-0.2920508411965304,-0.3075923670379846,-0.4787782987930312,-2.819924913512033,13.355467446283862,0,0.0
19,H29432,H,-0.6024172079894964,-0.542954574084053,-1.5064245188711198,1.4642247352392457,-0.9104496852052492,0,0,0,0,0,0,2026-01-01 03:00:00,0.0594626339054433,-2.2057440423019736,-0.2776761381795234,-0.79500751748516,-0.4196042501821345,1.0721332673511996,16.350860838348208,0,0.0
20,M14879,M,-0.5524211743618752,-0.475553688478486,0.6845673418959601,-0.7548309589505707,-0.8318962792929053,0,0,0,0,0,0,2026-01-01 03:10:00,0.0768674858833892,-0.5167326231495708,-0.2537182998178452,0.3589626467066966,-0.3860269518375754,-0.2823001946263876,-4.490269196752608,0,0.0
21,H29434,H,-0.5524211743618752,-0.475553688478486,-1.042686977788517,0.2740039538101625,-0.7847642357454989,0,0,0,0,0,0,2026-01-01 03:20:00,0.0768674858833892,-0.2857003545004227,-0.2393435968008382,-0.1303035908921115,-0.516284424512843,11.14048623527552,1.2730410057975876,0,0.0
22,L47201,L,-0.6024172079894964,-0.475553688478486,-0.5386244331335139,0.4858229064373717,-0.7062108298331549,0,0,0,0,0,0,2026-01-01 03:30:00,0.1268635195110103,-0.2616760875831055,-0.21538575843916,-0.2310348751036305,-0.3673966505994558,-1.0307301093300043,1.6536447077387812,0,0.0
23,M14882,M,-0.5524211743618752,-0.475553688478486,0.3418048115305581,-0.9363900612024648,-0.6747894674682173,0,0,0,0,0,0,2026-01-01 03:40:00,0.0768674858833892,-0.3200626283883962,-0.2058026230944887,0.4453037474594274,-0.4594699159960971,-0.3544134619222565,-2.8793349769843384,0,0.0
24,L47203,L,-0.5024251407342256,-0.4081528028729574,1.5313924169163653,-1.4407209007910595,-0.6276574239208109,0,0,0,0,0,0,2026-01-01 03:50:00,0.0942723378612682,-2.2063090623643435,-0.1914279200774817,0.588034273815523,-0.2895127702805376,-0.1612364800279175,-3.869342356606164,0,0.0
25,M14884,M,-0.5024251407342256,-0.4081528028729574,0.2073881329558905,-0.2706733529455201,-0.5962360615558733,0,0,0,0,0,0,2026-01-01 04:00:00,0.0942723378612682,-0.0561344413082822,-0.1818447847328104,0.1104760876677352,-0.3140198450305371,-0.338046061355374,-0.6703752543838833,0,0.0
26,L47205,L,-0.5024251407342256,-0.3407519172673904,2.223638311575902,-1.682799703793585,-0.5491040180084669,0,0,0,0,0,0,2026-01-01 04:10:00,0.1616732234668352,-3.741937892063996,-0.1674700817158034,0.5734172254446607,-0.1702884936455531,-0.1057041405804645,-3.732123973163248,0,0.0
27,L47206,L,-0.452429107106576,-0.3407519172673904,-0.1219327295520447,-0.0992008674853977,-0.5176826556435293,0,0,0,0,0,0,2026-01-01 04:20:00,0.1116771898391856,0.0120958325464252,-0.1578869463711321,0.0338028857902375,-0.3063994554109876,-0.3880704004529769,-0.2056755135309428,0,0.0
28,H29441,H,-0.452429107106576,-0.4081528028729574,1.887596615139234,-1.55167368550055,-0.4862612932785917,0,0,0,0,0,0,2026-01-01 04:30:00,0.0442763042336186,-2.9289339965514585,-0.1483038110264608,0.6333199638812613,-0.2021840547238881,-0.1413468906055207,-3.020355805781237,0,0.0
29,L47208,L,-0.452429107106576,-0.4081528028729574,-0.612553606349581,0.4253032056867409,-0.4077078873662477,0,0,0,0,0,0,2026-01-01 04:40:00,0.0442763042336186,-0.2605210124354508,-0.1243459726647825,-0.1735886954718972,-0.2911080396017242,-1.053443288057086,0.7180632607034729,0,0.0
30,L47209,L,-0.5024251407342256,-0.4081528028729574,1.094538211548696,-0.996909761953096,-0.3762865250013101,0,0,0,0,0,0,2026-01-01 04:50:00,0.0942723378612682,-1.0911558279235778,-0.1147628373201112,0.4068915135525688,-0.2378472038025786,-0.194865293276827,-1.598345717887833,0,0.0
31,M14890,M,-0.452429107106576,-0.3407519172673904,-1.2846369992229183,0.8287678773576166,-0.3448651626363725,0,0,0,0,0,0,2026-01-01 05:00:00,0.1116771898391856,-1.0646658790210362,-0.1051797019754399,-0.2824042431792333,-0.3187830617751281,1.197145550991861,1.265034051146963,0,0.0
32,L47211,L,-0.5024251407342256,-0.4081528028729574,1.8002257740657002,-1.4608941343746031,-0.2977331190889661,0,0,0,0,0,0,2026-01-01 05:10:00,0.0942723378612682,-2.629939273882561,-0.0908049989584329,0.5962680356456571,-0.1737958846010104,-0.1457571052495359,-2.0802549202938634,0,0.0
33,L47212,L,-0.5024251407342256,-0.4081528028729574,-0.7469702849242486,0.838854494149388,-0.2663117567240285,0,0,0,0,0,0,2026-01-01 05:20:00,0.0942723378612682,-0.6265993805047547,-0.0812218636137616,-0.3423808129896495,-0.2170010982212144,-1.6130627296116804,1.1433391523405656,0,0.0
34,L47213,L,-0.5524211743618752,-0.475553688478486,0.9063548615441614,-0.7548309589505707,-0.2348903943590909,0,0,0,0,0,0,2026-01-01 05:30:00,0.0768674858833892,-0.6841447092888912,-0.0716387282690903,0.3589626467066966,-0.2222682709211723,-0.2494570649313864,-0.9865657853272822,0,0.0
35,M14894,M,-0.6024172079894964,-0.6103554596895817,0.1939464650984238,-0.5329253895315887,-0.2034690319941533,0,0,0,0,0,0,2026-01-01 05:40:00,-0.0079382517000853,-0.1033589954608521,-0.062055592924419,0.3252739211078022,-0.3510441248212793,-0.511208397973913,-0.6690579662781887,0,0.0
36,M14895,M,-0.6024172079894964,-0.542954574084053,-0.5251827652760472,0.869114344524704,-0.1563369884467469,0,0,0,0,0,0,2026-01-01 05:50:00,0.0594626339054433,-0.4564438747985633,-0.047680889907412,-0.4718896087617515,-0.1915554382543279,-1.143502245447585,1.03016765298812,0,0.0
37,M14896,M,-0.5524211743618752,-0.542954574084053,0.3418048115305581,-0.3311930536961509,-0.1092049448993405,0,0,0,0,0,0,2026-01-01 06:00:00,0.0094666002778222,-0.1132033792988428,-0.0333061868904051,0.1798227834091905,-0.2387937871021722,-0.4046449747521179,-0.3717948946839699,0,0.0
38,L47217,L,-0.6024172079894964,-0.6103554596895817,-0.612553606349581,-0.0790276339018536,-0.0620729013519341,0,0,0,0,0,0,2026-01-01 06:10:00,-0.0079382517000853,0.0484086621478548,-0.0189314838733981,0.0482349478183458,-0.3932853618564893,-1.575328793072434,-0.0842577573627679,0,0.0
39,H29452,H,-0.5524211743618752,-0.542954574084053,-1.0158036420735834,1.080933297151914,-0.0306515389869965,0,0,0,0,0,0,2026-01-01 06:20:00,0.0094666002778222,-1.0980159800855214,-0.0093483485287268,-0.5868976779683887,-0.2121795264709188,34.356294046397615,1.1151132339162126,0,0.0
40,L47219,L,-0.6024172079894964,-0.6103554596895817,-1.2107078260068511,1.2624923994038078,0.0479018669253474,0,0,0,0,0,0,2026-01-01 06:30:00,-0.0079382517000853,-1.5285094282323572,0.0146094898329514,-0.7705691287927141,-0.2226172454713547,2.8966909832278187,1.2047811338556835,0,0.0
41,L47220,L,-0.6024172079894964,-0.6103554596895817,-1.130057818862051,0.5463426071880032,0.079323229290285,0,0,0,0,0,0,2026-01-01 06:40:00,-0.0079382517000853,-0.6173987350302812,0.0241926251776227,-0.3334631931582382,-0.3434329300125681,4.692954756814509,0.5061899830945488,0,0.0
42,L47221,L,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,1.0910199139436854,0.1107445916552226,0,0,0,0,0,0,2026-01-01 06:50:00,-0.0079382517000853,-1.1889202023589245,0.033775760522294,-0.665909961105586,-0.2201481954739641,6.801920320001121,0.98224193225002,0,0.0
43,M14902,M,-0.6024172079894964,-0.6103554596895817,-1.0897328152896506,0.9195474284835636,0.1421659540201602,0,0,0,0,0,0,2026-01-01 07:00:00,-0.0079382517000853,-1.0020610080337524,0.0433588958669653,-0.5612507934184583,-0.2481584200930009,6.801920320001121,0.8050909110422783,0,0.0
44,H29457,H,-0.6024172079894964,-0.542954574084053,-1.0628494795747172,0.859027727732932,0.1892979975675666,0,0,0,0,0,0,2026-01-01 07:10:00,0.0594626339054433,-0.9130171733611988,0.0577335988839723,-0.4664130340376259,-0.2319791072695536,8.63896690566186,0.7222981367915141,0,0.0
45,M14904,M,-0.6024172079894964,-0.6103554596895817,-0.3907660867013797,0.7581615598152132,0.2678514034799106,0,0,0,0,0,0,2026-01-01 07:20:00,-0.0079382517000853,-0.2962638258164048,0.0816914372456506,-0.4627480473599847,-0.1155051582170667,-1.0018409126059462,0.5979892893869612,0,0.0
46,L47225,L,-0.6024172079894964,-0.6103554596895817,-0.2765119099129123,0.9195474284835636,0.314983447027317,0,0,0,0,0,0,2026-01-01 07:30:00,-0.0079382517000853,-0.2542658157054973,0.0960661402626575,-0.5612507934184583,-0.0509507404162219,-0.843628897354913,0.6992844134747966,0,0.0
47,M14906,M,-0.652413241617146,-0.6777563452951486,2.102663300858702,-1.4306342839992874,0.3464048093922546,0,0,0,0,0,0,2026-01-01 07:40:00,-0.0253431036780026,-3.008142205915568,0.1056492756073288,0.9696214637772989,-0.062347152132125,-0.2184434079932459,-1.062558804023474,0,0.0
48,L47227,L,-0.6024172079894964,-0.6103554596895817,-0.7536911188529819,0.6371221583139501,0.393536852939661,0,0,0,0,0,0,2026-01-01 07:50:00,-0.0079382517000853,-0.4801933123456677,0.1200239786243358,-0.3888709878161295,-0.1871609550556897,-2.478008331844395,0.4571979255302386,0,0.0
49,H29462,H,-0.6024172079894964,-0.542954574084053,-0.7066452813518483,1.4037050344886142,0.4249582153045986,0,0,0,0,0,0,2026-01-01 08:00:00,0.0594626339054433,-0.9919215390312128,0.1296071139690071,-0.7621480691404064,-0.004670762726437,-1.8508465675483827,0.9850850498016596,0,0.0
50,M14909,M,-0.5524211743618752,-0.542954574084053,-0.7940161224253821,0.4152165888949689,0.5035116212169427,0,0,0,0,0,0,2026-01-01 08:10:00,0.0094666002778222,-0.3296886658810771,0.1535649523306854,-0.2254437461761011,-0.1941327321518797,-2.635908113184087,0.2761645357678662,0,0.0
51,L47230,L,-0.5524211743618752,-0.6103554596895817,2.455507082117204,-2.741894466929632,0.5506436647643491,1,0,0,1,0,0,2026-01-01 08:20:00,-0.0579342853277065,-6.732741281963688,0.1679396553476924,1.673530257783156,-0.1797040708199072,-0.1766326750850165,-1.7682298836504884,1,1.0
52,L47231,L,-0.5524211743618752,-0.6103554596895817,-0.98892030635865,1.504571202406333,0.5820650271292866,0,0,0,0,0,0,2026-01-01 08:30:00,-0.0579342853277065,-1.4879010144220732,0.1775227906923637,-0.918323247880424,-0.0130121421748974,-55.08775598376696,0.95101729486836,0,0.0
53,H29466,H,-0.6024172079894964,-0.6777563452951486,-0.2227452384830453,0.3849567385196528,0.6134863894942243,0,0,0,0,0,0,2026-01-01 08:40:00,-0.0753391373056522,-0.0857472805272153,0.187105926037035,-0.26090687219582,-0.1008951327507626,-0.8719873828400655,0.2385869140429032,0,0.0
54,L47233,L,-0.652413241617146,-0.6777563452951486,0.234271468670824,-0.4925789223645013,0.6920397954065682,0,0,0,0,0,0,2026-01-01 08:50:00,-0.0253431036780026,-0.1153971875786235,0.2110637643987133,0.3338484901911871,-0.1792874490398806,-0.5491144877755445,-0.291115447580914,0,0.0
55,L47234,L,-0.652413241617146,-0.6777563452951486,1.0810965436912292,-0.996909761953096,0.7234611577715059,0,0,0,0,0,0,2026-01-01 09:00:00,-0.0253431036780026,-1.0777556980195382,0.2206468997433846,0.6756619168503869,-0.104504329480531,-0.3256727071839809,-0.5784347140391225,0,0.0
56,L47235,L,-0.6024172079894964,-0.6103554596895817,-0.1219327295520447,0.0722716179747247,0.7548825201364434,0,0,0,0,0,0,2026-01-01 09:10:00,-0.0079382517000853,-0.0088122756488008,0.2302300350880559,-0.0441113766114729,-0.1015102518239909,-0.6951124136288583,0.0411831659073711,0,0.0
57,L47236,L,-0.6024172079894964,-0.6103554596895817,-0.3571619170577128,0.2437441034348464,0.7863038825013811,0,0,0,0,0,0,2026-01-01 09:20:00,-0.0079382517000853,-0.0870561112543031,0.2398131704327272,-0.1487705442986006,-0.1079773197601126,-0.9494699767878846,0.1364516451106453,0,0.0
58,L47237,L,-0.6024172079894964,-0.6103554596895817,-0.1152118956233113,0.0319251508076365,0.8177252448663187,0,0,0,0,0,0,2026-01-01 09:30:00,-0.0079382517000853,-0.0036781571426078,0.2493963057773985,-0.0194856900968541,-0.0956668335256867,-0.6898323527072756,0.0175632433437344,0,0.0
59,M14918,M,-0.6024172079894964,-0.6777563452951486,0.8794715258292279,-1.0574294627037275,0.8491466072312562,0,0,0,0,0,0,2026-01-01 09:40:00,-0.0753391373056522,-0.929979103020828,0.2589794411220698,0.716679528049491,-0.1217969765855776,-0.3606100629782729,-0.5718472827241244,0,0.0
60,L47239,L,-0.6024172079894964,-0.6103554596895817,-1.0225244760023169,1.4541381184474735,0.8962786507786626,0,0,0,0,0,0,2026-01-01 09:50:00,-0.0079382517000853,-1.486891817600498,0.2733541441390768,-0.8875411397371511,0.0230239251089482,27.097432127912768,0.7668377840199623,0,0.0
61,L47240,L,-0.6024172079894964,-0.6103554596895817,-0.9217119670713164,1.2725790161955797,0.9277000131436004,0,0,0,0,0,0,2026-01-01 10:00:00,-0.0079382517000853,-1.1729513082713083,0.2829372794837482,-0.7767255504213687,0.0131588789177571,-7.796280438487764,0.6601540735170298,0,0.0
62,M14921,M,-0.6024172079894964,-0.6777563452951486,0.4157339847466251,-0.1798938018195725,0.9591213755085378,0,0,0,0,0,0,2026-01-01 10:10:00,-0.0753391373056522,-0.0747879670616705,0.2925204148284194,0.1219241656624832,-0.0170423989698109,-0.4787314231327484,-0.0918237144816393,0,0.0
63,L47242,L,-0.6024172079894964,-0.6777563452951486,2.008571625856435,-1.7231461709606726,1.0062534190559442,0,0,0,0,0,0,2026-01-01 10:20:00,-0.0753391373056522,-3.4610625061947684,0.3068951178454264,1.1678732512396348,0.0023010641334123,-0.225275123739896,-0.8588875934584128,0,0.0
64,M14923,M,-0.5524211743618752,-0.6777563452951486,1.8943174490679675,-1.4205476672075157,1.0376747814208818,0,0,0,0,0,0,2026-01-01 10:30:00,-0.1253351709332734,-2.6909682332239933,0.3164782531900977,0.9627851952441148,0.0562534087248619,-0.2341679367318193,-0.6971415066622948,0,0.0
65,L47244,L,-0.5024251407342256,-0.6103554596895817,-0.0480035563359776,-0.1395473346524851,1.0848068249682885,0,0,0,0,0,0,2026-01-01 10:40:00,-0.1079303189553561,0.006698768340526,0.3308529562071047,0.0851734775902734,-0.0431049332887963,-0.6411320795910324,-0.0669353788472021,0,0.0
66,L47245,L,-0.5024251407342256,-0.6103554596895817,-0.9149911331425828,0.5160827568126879,1.1162281873332258,0,0,0,0,0,0,2026-01-01 10:50:00,-0.1079303189553561,-0.4722111464513893,0.340436091551776,-0.3149939282722747,-0.0790921578840953,-7.179903488342137,0.2438691441224171,0,0.0
67,M14926,M,-0.5524211743618752,-0.7451572309007156,1.0004465365464288,-1.1381223970379026,1.1476495496981634,0,0,0,0,0,0,2026-01-01 11:00:00,-0.1927360565388404,-1.1386306102824892,0.3500192268964472,0.8480801338028483,-0.0575209432111802,-0.3724954490346716,-0.5299386006426688,0,0.0
68,H29481,H,-0.6024172079894964,-0.7451572309007156,-0.4310910902737799,0.4152165888949689,1.19478159324557,0,0,0,0,0,0,2026-01-01 11:10:00,-0.1427400229112192,-0.1789961720064919,0.3643939299134544,-0.3094016436050158,-0.0337334694046905,-1.3098005992898103,0.1891835571123778,0,0.0
69,L47248,L,-0.6024172079894964,-0.7451572309007156,-0.0211202206210441,-0.7649175757423428,1.273334999157914,0,0,0,0,0,0,2026-01-01 11:20:00,-0.1427400229112192,0.0161552279565924,0.3883517682751325,0.5699838626074525,-0.172055447219137,-0.761234675185012,-0.336473760367778,0,0.0
70,L47249,L,-0.5524211743618752,-0.6777563452951486,-0.8074577902828489,2.593925815917698,1.3047563615228517,1,0,0,1,1,0,2026-01-01 11:30:00,-0.1253351709332734,-2.09448560747854,0.3979349036198039,-1.7580496809631154,0.3722093735001354,-3.520040339678184,1.125466387346808,1,0.99
71,M14930,M,-0.5524211743618752,-0.6777563452951486,2.455507082117204,-1.753406021335988,1.336177723887789,0,0,0,0,0,0,2026-01-01 11:40:00,-0.1253351709332734,-4.305500903217468,0.4075180389644751,1.1883820568391867,0.1616202530023961,-0.1961380281356229,-0.7505447909237095,0,0.0
72,L47251,L,-0.5524211743618752,-0.6103554596895817,-0.5251827652760472,0.5564292239797752,1.3833097674351955,0,0,0,0,0,0,2026-01-01 11:50:00,-0.0579342853277065,-0.2922270385301034,0.4218927419814822,-0.3396196147868929,0.0503559184174933,-1.2854534651515497,0.233469115757696,0,0.0
73,L47252,L,-0.5524211743618752,-0.6103554596895817,-1.0830119813609171,0.4454764392702843,1.414731129800133,0,0,0,0,0,0,2026-01-01 12:00:00,-0.0579342853277065,-0.4824563211437169,0.4314758773261534,-0.2718989768716924,-0.0771162092683913,7.352618859148723,0.1844828327976855,0,0.0
74,L47253,L,-0.5024251407342256,-0.6103554596895817,0.4157339847466251,-0.5026655391562734,1.4461524921650706,0,0,0,0,0,0,2026-01-01 12:10:00,-0.1079303189553561,-0.2089751475882482,0.4410590126708247,0.3068046562218387,0.0492880674663229,-0.4311229837424701,-0.2054923152854497,0,0.0
75,L47254,L,-0.5524211743618752,-0.6777563452951486,0.4762214901052255,-0.7750041925341148,1.4775738545300083,0,0,0,0,0,0,2026-01-01 12:20:00,-0.1253351709332734,-0.3690736514063932,0.4506421480154961,0.5252640091203393,-0.0102772735111809,-0.4591156204119735,-0.3128077054563251,0,0.0
76,L47255,L,-0.6024172079894964,-0.7451572309007156,-1.0158036420735834,0.6774686254810383,1.508995216894946,0,0,0,0,0,0,2026-01-01 12:30:00,-0.1427400229112192,-0.6881750971542231,0.4602252833601674,-0.5048206449855644,-0.0353828477175622,47.150981237817525,0.2700159095239138,0,0.0
77,L47256,L,-0.6024172079894964,-0.7451572309007156,-0.4646952599174468,0.7985080269823005,1.5404165792598834,0,0,0,0,0,0,2026-01-01 12:40:00,-0.1427400229112192,-0.3710628951447077,0.4698084187048387,-0.5950140302381249,0.105330981486905,-1.3920243463299045,0.3143216878292202,0,0.02
78,L47257,L,-0.6024172079894964,-0.7451572309007156,-0.5050202634898471,0.1327913187253555,1.5718379416248212,1,1,0,0,0,0,2026-01-01 12:50:00,-0.1427400229112192,-0.0670623067718433,0.47939155404951,-0.0989504113490402,-0.0295930884059764,-1.5054297700233858,0.0516328484684619,1,0.96
79,L47258,L,-0.6024172079894964,-0.7451572309007156,-0.8881077974276493,1.1616262314860888,-1.6959837443286894,0,0,0,0,0,0,2026-01-01 13:00:00,-0.1427400229112192,-1.031649313879291,-0.5172545217963063,-0.8655941859958076,-0.5540079498320925,-6.659599272959965,-1.6690421880564676,0,0.0
80,L47259,L,-0.6024172079894964,-0.7451572309007156,-0.8612244617127159,-0.2101536521948886,-1.6645623819637516,0,0,0,0,0,0,2026-01-01 13:10:00,-0.1427400229112192,0.1809894659885042,-0.507671386451635,0.1565975135332153,-0.8167029869523137,-5.369514253716241,0.3162286308982674,0,0.0
81,H29494,H,-0.6024172079894964,-0.8125581165062443,-0.5722286027771808,1.0002403628177383,-1.633141019598814,0,0,0,0,0,0,2026-01-01 13:20:00,-0.2101409085167479,-0.5723661452565347,-0.4980882511069636,-0.812753425264704,-0.5240209168107994,-1.8995148384897644,-1.5798066020924288,0,0.0
82,L47261,L,-0.5524211743618752,-0.7451572309007156,-0.5386244331335139,0.7581615598152132,-1.55458761368647,0,0,0,0,0,0,2026-01-01 13:30:00,-0.1927360565388404,-0.4083643403790899,-0.4741304127452854,-0.5649495684872715,-0.5265257784534724,-1.6150773565266645,-1.367072652011719,0,0.0
83,L47262,L,-0.5524211743618752,-0.7451572309007156,-0.5184619313473138,0.082358234766496,-1.5231662513215325,0,0,0,0,0,0,2026-01-01 13:40:00,-0.1927360565388404,-0.0426996094593929,-0.4645472774006141,-0.0613698341604732,-0.6513696706329882,-1.5474523810456349,-0.1574226826720126,0,0.0
84,L47263,L,-0.5024251407342256,-0.6777563452951486,-0.4109285884875798,0.0117519172240932,-1.491744888956595,0,0,0,0,0,0,2026-01-01 13:50:00,-0.175331204560923,-0.0048291987569194,-0.4549641420559427,-0.0079649364680125,-0.6142206092498912,-1.1505503951635216,-0.0238984023789833,0,0.0
85,L47264,L,-0.5524211743618752,-0.7451572309007156,-0.7268077831380484,0.7682481766069852,-1.4603235265916572,0,0,0,0,0,0,2026-01-01 14:00:00,-0.1927360565388404,-0.5583687541395708,-0.4453810067112714,-0.572465683924985,-0.5432923076770622,-2.727593192295282,-1.6689309414517088,0,0.0
86,M14945,M,-0.5024251407342256,-0.6777563452951486,1.8405507776381005,-1.3297681160815684,-1.4289021642267197,0,0,0,0,0,0,2026-01-01 14:10:00,-0.175331204560923,-2.4475057401322826,-0.4357978713666001,0.9012587784454588,-0.4196601977399123,-0.2386003273135284,3.1003996412073285,0,0.0
87,H29500,H,-0.5024251407342256,-0.6777563452951486,-0.6327161081357812,0.3950433553114248,-1.3817701206793134,0,0,0,0,0,0,2026-01-01 14:20:00,-0.175331204560923,-0.2499502943175452,-0.4214231683495932,-0.2677431407290041,-0.5599248719066088,-1.8453200924632664,-1.0347676099127228,0,0.0
88,L47267,L,-0.5024251407342256,-0.6777563452951486,0.0931339561674232,-0.8254372764929738,-1.303216714766969,0,0,0,0,0,0,2026-01-01 14:30:00,-0.175331204560923,-0.0768762391278538,-0.3974653299879148,0.559445351786259,-0.6431403042243788,-0.6200121599656394,2.7222683852615,0,0.0
89,M14948,M,-0.5024251407342256,-0.6777563452951486,-0.7469702849242486,0.5261693736044599,-1.2717953524020318,0,0,0,0,0,0,2026-01-01 14:40:00,-0.175331204560923,-0.3930328869197368,-0.3878821946432436,-0.3566146316603964,-0.5345555499502389,-2.6785642353991643,-1.9359027627012748,0,0.0
